,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
146,41-18 27th St #1A,"Long Island City, NY 11101",850000,180,,,,,,,,,,,2008.0,,Condo,,,,,,,,,,,,,,,,,
147,99-41 64 #B17,"Rego Park, NY 11374",689000,1,,,3.0,2.0,2.0,,,,,,1956.0,,Residential,Stock Cooperative,,A,Active,,3291144,,Queens 24,,Queens 24,,Queens 24,,,,,
148,99-41 64th Ave #B17,"Rego Park, NY 11374",689000,2,,,,,,,,,,,1947.0,,Coop,,,,,,,,,,,,,,,,,
149,3233 200th St,"Bayside, NY 11361",698000,39,,,3.0,2.0,1.0,,,1.0,"Private,Garage",,1930.0,,Residential,Single Family Residence,,A,Active,,3282805,Ps 159,Queens 26,,Queens 26,,Queens 26,0.04,,,,4455.0
150,6445 Ellwell Cres,"Flushing, NY 11374",2088888,1,,,3.0,3.0,3.0,,Hardwood,1.0,"Private,Attached,Driveway,On Street",,1949.0,,Residential,Single Family Residence,,A,Active,,3291099,,Queens 24,,Queens 24,,Queens 24,0.09,,,,12013.0
151,8715 165th St,"Jamaica, NY 11432",130000,99,,,,1.0,1.0,,,,None,,1960.0,,Residential,Single Family Residence,,A,Active,,3270648,,Queens 24,,Queens 24,,Queens 24,0.23,,,,500.0
152,42-95 Main St #4,"Flushing, NY 11355",428000,1,,,2.0,2.0,1.0,,,,,,1960.0,,Residential,Stock Cooperative,,A,Active,,3290992,,Queens 25,,Queens 25,,Queens 25,,,,,
153,61-15 75th St,"Middle Village, NY 11379",1299000,2,,,,,,,,,Garage Attached,,1960.0,,Multi Family,,,,,,,,,,,,,,,,,
154,13-01 34th Ave #2,"Astoria, NY 11106",1149000,134,,,,,,,,,,,1996.0,,Multi Family,,,,,,,,,,,,,,,,,
155,9009 Vanderveer St,"Jamaica, NY 11428",889000,1,,,5.0,3.0,3.0,,,4.0,"Private,Attached,Garage",,1920.0,,Residential,Single Family Residence,,A,Active,,3290954,,Queens 29,,Queens 29,,Queens 29,0.08,10648,17,Q10648-0017,5144.0
156,69-21 Manse St,"Forest Hills, NY 11375",849000,7,,,,,,,,,,,1930.0,,Single Family Home,,,,,,,,,,,,,,,,,
157,31-31 138th St #4J,"Flushing, NY 11354",278000,1,,,1.0,1.0,1.0,,,,,,1956.0,,Residential,Stock Cooperative,,A,Active,,3291220,,Queens 25,,Queens 25,,Queens 25,,,,,
